mc,bm
背部皮肤恶性肿瘤,C44.504
肩胛区皮肤恶性肿瘤,C44.505
臀部皮肤恶性肿瘤,C44.506
肛门皮肤恶性肿瘤,C44.507
肛周皮肤恶性肿瘤,C44.508
上肢皮肤恶性肿瘤,C44.600
肩部皮肤恶性肿瘤,C44.601
上臂皮肤恶性肿瘤,C44.602
前臂皮肤恶性肿瘤,C44.603
肘部皮肤恶性肿瘤,C44.604
腕部皮肤恶性肿瘤,C44.605
手皮肤恶性肿瘤,C44.606
下肢皮肤恶性肿瘤,C44.700
髋部皮肤恶性肿瘤,C44.701
大腿皮肤恶性肿瘤,C44.702
小腿皮肤恶性肿瘤,C44.703
膝部皮肤恶性肿瘤,C44.704
腘窝皮肤恶性肿瘤,C44.705
踝部皮肤恶性肿瘤,C44.706
足皮肤恶性肿瘤,C44.707
皮肤交搭跨越恶性肿瘤,C44.800
皮肤恶性肿瘤,C44.900
汗腺恶性肿瘤,C44.901
胸膜间皮瘤,C45.000
腹膜间皮瘤,C45.100
肠系膜间皮瘤,C45.101
结肠系膜间皮瘤,C45.102
网膜间皮瘤,C45.103
心包间皮瘤,C45.200
脚癣,B35.300
体癣,B35.400
钱癣,B35.401
叠瓦癣,B35.500
股癣,B35.600
特指皮肤癣菌病,B35.800
播散性皮真菌病,B35.801
皮肤癣菌病,B35.900
黄癣,B35.901
花斑癣,B36.000
糠秕孢子性毛囊炎,B36.001
黑癣,B36.100
白癣,B36.200
黑色发结节病,B36.300
特指浅部真菌病,B36.800
播散性阿萨希毛孢子菌感染,B36.801
浅部真菌病,B36.900
皮肤真菌感染,B36.901
耳真菌病,B36.902+
真菌性外耳道炎,B36.903+
念珠菌性口炎,B37.000
口腔念珠菌感染,B37.001
念珠菌性口角炎,B37.002
咽念珠菌感染,B37.003
肺念珠菌病,B37.100+
念珠菌性肺炎,B37.101+
皮肤和指【趾】甲念珠菌病,B37.200
念珠菌性指甲炎,B37.201
念珠菌性趾甲炎,B37.202
念珠菌性甲沟炎,B37.203
念珠菌性甲床炎,B37.204
皮肤念珠菌病,B37.205
外阴和阴道念珠菌病,B37.300+
念珠菌性阴道炎,B37.301+
念珠菌性外阴阴道炎,B37.302+
真菌性阴道炎,B37.303+
真菌性外阴阴道炎,B37.304+
特指泌尿生殖系部位念珠菌感染,B37.400
念珠菌性尿道口炎,B37.401+
念珠菌性龟头炎,B37.402+
念珠菌性脑膜炎,B37.500+
念珠菌性心内膜炎,B37.600+
念珠菌性败血症,B37.700
特指部位念珠菌病,B37.800
念珠菌性眼内炎,B37.801
念珠菌性中耳炎,B37.802
支气管念珠菌感染,B37.803
食道念珠菌病,B37.804
胃肠道念珠菌感染,B37.805
肠道念珠菌病,B37.806
视神经念珠菌感染,B37.807+
播散性念珠菌病,B37.808
念珠菌病,B37.900
热带白色念珠菌感染,B37.901
急性肺球孢子菌病,B38.000
慢性肺球孢子菌病,B38.100
肺球孢子菌病,B38.200+
皮肤球孢子菌病,B38.300
球孢子菌病脑膜炎,B38.400+
播散性球孢子菌病,B38.700
特指形式球孢子菌病,B38.800
球孢子菌病,B38.900
急性肺荚膜组织胞浆菌病,B39.000
慢性肺荚膜组织胞浆菌病,B39.100
肺荚膜组织胞浆菌病,B39.200
播散性荚膜组织胞浆菌病,B39.300
荚膜组织胞浆菌病,B39.400
杜波依西变种组织胞浆菌病,B39.500
组织胞浆菌病,B39.900
急性肺芽生菌病,B40.000
慢性肺芽生菌病,B40.100
肺芽生菌病,B40.200+
皮肤芽生菌病,B40.300
芽生菌性皮炎,B40.301+
芽生菌性脓皮病,B40.302+
播散性芽生菌病,B40.700
特指形式芽生菌病,B40.800
芽生菌病,B40.900
肺副球孢子菌病,B41.000
播散性副球孢子菌病,B41.700
特指形式副球孢子菌病,B41.800
副球孢子菌病,B41.900
肺孢子丝菌病,B42.000+
淋巴皮肤孢子丝菌病,B42.100
播散性孢子丝菌病,B42.700
特指形式孢子丝菌病,B42.800
孢子丝菌病,B42.900
皮肤着色真菌病,B43.000
棕色真菌病性脑脓肿,B43.100
大脑着色真菌病,B43.101+
皮下棕色真菌病性脓肿和囊肿,B43.200
特指形式着色真菌病,B43.800
暗丝孢霉病,B43.801
着色真菌病,B43.900
侵入性肺曲霉病,B44.000+
肺曲霉病,B44.100+
变态反应性支气管肺曲霉病,B44.101+
曲霉菌性肺炎,B44.102+
扁桃体曲霉病,B44.200
播散性曲霉病,B44.700
特指形式曲霉病,B44.800
声带曲霉病,B44.801
耳曲霉病,B44.802
肝曲霉病,B44.803
上颌窦曲菌病,B44.804
曲霉病,B44.900
肺隐球菌病,B45.000+
大脑隐球菌病,B45.100
隐球菌性脑膜炎,B45.101+
隐球菌性脑炎,B45.102+
皮肤隐球菌病,B45.200+
骨隐球菌病,B45.300+
播散性隐球菌病,B45.700
特指形式隐球菌病,B45.800
眼新型隐球菌病,B45.801
隐球菌病,B45.900
肺毛霉病,B46.000+
鼻大脑毛霉病,B46.100+
胃肠毛霉病,B46.200
皮肤毛霉病,B46.300
播散性毛霉病,B46.400
毛霉菌病,B46.500
特指接合菌病,B46.800
接合菌病,B46.900
真菌性足菌肿,B47.000
放线菌瘤,B47.100
足菌肿,B47.900
瘢痕疙瘩性芽生菌病,B48.000
鼻孢子菌病,B48.100
阿利什利菌病,B48.200
霉样真菌病,B48.201
地霉病,B48.300
青霉病,B48.400
马尔尼菲青霉菌感染,B48.401
播散型青霉病,B48.402
机遇性真菌病,B48.700
特指真菌病,B48.800
真菌感染,B49.x00
真菌性脑膜炎,B49.x01+
垂体霉菌感染,B49.x02+
真菌性角膜炎,B49.x03+
真菌性角膜溃疡,B49.x04+
真菌性鼻窦炎,B49.x05
真菌性额窦炎,B49.x06
真菌性筛窦炎,B49.x07
真菌性蝶窦炎,B49.x08
真菌性上颌窦炎,B49.x09
鼻真菌病,B49.x10
外耳道真菌病,B49.x11
真菌性食管炎,B49.x12
支气管真菌感染,B49.x13
肺真菌感染,B49.x14
真菌性心包炎,B49.x15
肠道真菌感染,B49.x16
真菌性腹膜炎,B49.x17
真菌性泌尿道感染,B49.x18
恶性疟原虫疟疾伴大脑并发症,B50.000
特指严重或有并发症恶性疟原虫疟疾,B50.800
黑水热,B50.801
恶性疟原虫疟疾,B50.900
间日疟原虫疟疾伴脾破裂,B51.000
间日疟原虫疟疾伴特指并发症,B51.800
肛门衣原体感染,A56.302
咽衣原体感染,A56.400
特指部位性传播衣原体感染,A56.800
软下疳,A57.x00
腹股沟肉芽肿,A58.x00
溃疡性腹股沟肉芽肿,A58.x01
泌尿生殖系滴虫病,A59.000
滴虫性尿道炎,A59.001+
滴虫性阴道炎,A59.002+
特指部位滴虫病,A59.800
滴虫病,A59.900
生殖器和泌尿生殖道的疱疹病毒感染,A60.000
生殖器疱疹,A60.001
泌尿生殖道疱疹病毒感染,A60.002
阴茎单纯疱疹,A60.003+
肛周皮肤和直肠疱疹病毒感染,A60.100
肛周皮肤疱疹病毒感染,A60.101
直肠疱疹病毒感染,A60.102
肛门生殖器疱疹病毒感染,A60.900
肛门生殖器（性病性）疣,A63.000
肛门生殖器尖锐湿疣,A63.001
外阴尖锐湿疣,A63.002
特指主要性传播疾病,A63.800
性传播疾病,A64.x00
非性病性梅毒,A65.x00
雅司病初发损害,A66.000
多发性乳头瘤和湿性角化过度性雅司病,A66.100
雅司病特指早期皮肤损害,A66.200
雅司病角化过度,A66.300
雅司病树胶样肿和溃疡,A66.400
毁形性鼻咽炎,A66.500
雅司病骨和关节损害,A66.600
雅司病特指表现,A66.700
潜伏性雅司病,A66.800
雅司病,A66.900
品他病初期损害,A67.000
品他病中期损害,A67.100
品他病晚期损害,A67.200
品他病混合性损害,A67.300
品他病,A67.900
虱媒介回归热,A68.000
蜱媒介回归热,A68.100
回归热,A68.900
坏死性溃疡性口炎,A69.000
特指樊尚螺旋体感染,A69.100
莱姆病,A69.200
特指螺旋体感染,A69.800
螺旋体感染,A69.900
鹦鹉热衣原体感染,A70.x00
初期沙眼,A71.000
活动期沙眼,A71.100
沙眼性角膜炎,A71.101
沙眼,A71.900
衣原体结膜炎,A74.000+
特指衣原体疾病,A74.800
衣原体感染,A74.900
普氏立克次体引起的流行性虱媒介的斑疹伤寒,A75.000
流行性斑疹伤寒,A75.001
再燃性斑疹伤寒[布里尔病],A75.100
地方性斑疹伤寒立克次体引起斑疹伤寒,A75.200
恙虫病,A75.300
斑疹伤寒,A75.900
立氏立克次体性斑疹热,A77.000
康诺尔立克次体性斑疹热,A77.100
西伯利亚立克次体性斑疹热,A77.200
澳洲立克次体性斑疹热,A77.300
特指斑疹热,A77.800
斑疹热,A77.900
Q热,A78.x00
战壕热,A79.000
螨立克次体性立克次体痘,A79.100
特指立克次体病,A79.800
附红细胞体病,A79.801
立克次体病,A79.900
立克次体感染,A79.901
急性麻痹性脊髓灰质炎，与接种有关,A80.000
急性麻痹性脊髓灰质炎，(外地)移入性野病毒,A80.100
急性麻痹性脊髓灰质炎，本土性野病毒,A80.200
特指急性麻痹性脊髓灰质炎,A80.300
急性非麻痹性脊髓灰质炎,A80.400
急性脊髓灰质炎,A80.900
克罗伊茨费尔特-雅各布病,A81.000
亚急性硬化性全脑炎,A81.100
亚急性包涵体脑炎,A81.101
进行性多灶性白质脑病,A81.200
中枢神经系统特指非典型病毒感染,A81.800
朊蛋白病,A81.801
中枢神经系统非典型病毒感染,A81.900
森林狂犬病,A82.000
城市狂犬病,A82.100
狂犬病,A82.900
日本脑炎,A83.000
西方马脑炎,A83.100
东方马脑炎,A83.200
圣路易斯脑炎,A83.300
澳大利亚脑炎,A83.400
加利福尼亚脑炎,A83.500
罗西欧病毒病,A83.600
特指蚊媒介病毒性脑炎,A83.800
蚊媒介病毒性脑炎,A83.900
远东蜱媒介的脑炎,A84.000
中部欧洲蜱媒介脑炎,A84.100
特指蜱媒介病毒性脑炎,A84.800
蜱媒介病毒性脑炎,A84.900
肠病毒性脑炎,A85.000+
肠病毒性脑脊髓炎,A85.001+
腺病毒性脑炎,A85.100+
腺病毒性脑脊髓炎,A85.101+
节肢动物媒介病毒性脑炎,A85.200
特指病毒性脑炎,A85.800
病毒性脑炎,A86.x00
病毒性脑脊髓炎,A86.x01
病毒性脑膜脑炎,A86.x02
肠病毒性脑膜炎,A87.000+
腺病毒性脑膜炎,A87.100+
淋巴细胞性脉络丛脑膜炎,A87.200
特指病毒性脑膜炎,A87.800
乙脑病毒性脑膜炎,A87.801
病毒性脑膜炎,A87.900
病毒性脑脊髓膜炎,A87.901
肠病毒疹热,A88.000
流行性眩晕,A88.100
中枢神经系统特指病毒性感染,A88.800
中枢神经系统病毒感染,A89.x00
登革热,A90.x00
登革出血热,A91.x00
奇昆古尼亚病毒病,A92.000
奥尼昂-尼昂热,A92.100
委内瑞拉马型热,A92.200
西尼罗河病毒感染,A92.300
裂谷热,A92.400
特指蚊媒介病毒性发热,A92.800
蚊媒介病毒性发热,A92.900
奥罗普什病毒病,A93.000
白蛉热,A93.100
科罗拉多蜱热,A93.200
特指节肢动物媒介病毒性,A93.800
疱疹性口炎病毒病,A93.801
节肢动物媒介的病毒性发热,A94.x00
虫媒病毒性发热,A94.x01
森林黄热病,A95.000
城市黄热病,A95.100
黄热病,A95.900
朱宁出血热,A96.000
马丘波出血热,A96.100
拉沙热,A96.200
特指沙粒病毒性出血热,A96.800
沙粒病毒性出血热,A96.900
克里米亚-刚果出血热,A98.000
鄂木斯克出血热,A98.100
基萨那[凯萨努]森林病,A98.200
马尔堡病毒病,A98.300
埃博拉病毒病,A98.400
出血热伴有肾综合征,A98.500+
特指病毒性出血热,A98.800
病毒性出血热,A99.x00
疱疹性湿疹,B00.000
卡波西水疱样疹,B00.001
疱疹病毒性水疱皮炎,B00.100
唇单纯疱疹,B00.101
疱疹病毒性龈口炎和咽扁桃体炎,B00.200
疱疹病毒性龈口炎,B00.201
疱疹病毒性咽扁桃体炎,B00.202
疱疹病毒性口炎,B00.203
疱疹病毒性颌下腺炎,B00.204
疱疹病毒性咽炎,B00.205
疱疹病毒性脑膜炎,B00.300+
疱疹病毒性脑炎,B00.400+
疱疹病毒性脑膜脑炎,B00.401+
疱疹病毒性眼病,B00.500
疱疹病毒性角膜炎,B00.501+
疱疹病毒性结膜炎,B00.502+
疱疹性眼炎,B00.503+
播散性疱疹病毒病,B00.700
疱疹性败血症,B00.701
特指形式疱疹病毒感染,B00.800
疱疹病毒性瘭疽,B00.801
疱疹病毒性肝炎,B00.802+
EB病毒性肝炎,B00.803+
疱疹病毒感染,B00.900
EB病毒感染,B00.901
单纯疱疹,B00.902
水痘脑膜炎,B01.000+
水痘脑炎,B01.100+
水痘肺炎,B01.200+
水痘伴特指并发症,B01.800
水痘肝炎,B01.801
水痘,B01.900
带状疱疹脑炎,B02.000+
带状疱疹神经根脊髓炎,B02.001+
带状疱疹脑膜炎,B02.100+
带状疱疹累及特指神经系统,B02.200+
带状疱疹性坐骨神经痛,B02.201+
带状疱疹性神经痛,B02.202+
带状疱疹性神经根炎,B02.203+
带状疱疹性多颅神经麻痹,B02.204+
亨特综合征,B02.205+
带状疱疹性肋间神经痛,B02.206+
疱疹后三叉神经痛,B02.207+
带状疱疹眼病,B02.300
带状疱疹性眼炎,B02.301+
带状疱疹性角膜炎,B02.302+
眼睑带状疱疹,B02.303+
播散性带状疱疹,B02.700
带状疱疹伴特指并发症,B02.800
外耳带状疱疹,B02.801+
带状疱疹,B02.900
天花2,B03.x00
猴痘,B04.x00
麻疹并发脑炎,B05.000+
麻疹并发脑膜炎,B05.100+
麻疹并发肺炎,B05.200+
麻疹并发中耳炎,B05.300+
麻疹伴肠道并发症..,B05.400
麻疹伴特指并发症,B05.800
麻疹并喉炎,B05.801+
麻疹并发支气管炎,B05.802
麻疹并发心肌炎,B05.803
麻疹,B05.900
风疹伴神经科并发症,B06.000+
风疹伴特指并发症,B06.800
风疹,B06.900
病毒性疣,B07.x00
扁平疣,B07.x01
眼睑疣,B07.x02
寻常疣,B07.x03
疣,B07.x04
指状疣,B07.x05
特指正痘病毒属感染,B08.000
传染性软疣,B08.100
猝发疹[第六病],B08.200
传染性红斑[第五病],B08.300
肠病毒性水泡性口炎伴有疹病,B08.400
手足口病,B08.401
肠病毒性水疱性咽炎,B08.500
疱疹性咽峡炎,B08.501
特指以皮肤和粘膜损害为特征病毒性感染,B08.800
口蹄疫,B08.801
肠病毒性淋巴结咽炎,B08.802
以皮肤和粘膜损害为特征的病毒性感染,B09.x00
病毒性皮疹,B09.x01
甲型病毒性肝炎伴肝昏迷,B15.000
急性甲型病毒性肝炎伴肝昏迷,B15.001
急性重型甲型病毒性肝炎伴肝昏迷,B15.002
亚急性重型甲型病毒性肝炎伴肝昏迷,B15.003
甲型病毒性肝炎不伴肝昏迷,B15.900
急性甲型病毒性肝炎,B15.901
急性黄疸型甲型病毒性肝炎,B15.902
急性淤胆型甲型病毒性肝炎,B15.903
急性传染性肝炎,B15.904
急性无黄疸型甲型病毒性肝炎,B15.905
急性乙型肝炎，伴有δ因子(共同感染)，并伴有肝昏迷,B16.000
急性乙型丁型病毒性肝炎伴肝昏迷,B16.001
急性乙型肝炎，伴有δ因子(共同感染)，但不伴有肝昏迷,B16.100
急性乙型丁型病毒性肝炎,B16.101
急性乙型肝炎，不伴有δ因子(共同感染)，但伴有肝昏迷,B16.200
急性黄疸型乙型病毒性肝炎伴肝昏迷,B16.201
亚急性重型乙型病毒性肝炎伴肝昏迷,B16.202
急性重型乙型病毒性肝炎伴肝昏迷,B16.203
急性无黄疸型乙型肝炎伴肝昏迷,B16.204
亚急性重型乙型病毒性肝炎,B16.205
急性乙型重症肝炎伴肝昏迷,B16.206
急性乙型肝炎，不伴有δ因子(共同感染)，也不伴有肝昏迷急性乙型病毒性肝炎,B16.900
急性黄疸型乙型病毒性肝炎,B16.901
急性淤胆型乙型病毒性肝炎,B16.902
输血后乙型病毒性肝炎,B16.903
乙型病毒性肝炎,B16.904
急性无黄疸型乙型病毒性肝炎,B16.905
乙型肝炎病毒携带者急性δ因子重复感染,B17.000
急性丙型病毒性肝炎,B17.100
急性黄疸型丙型病毒性肝炎,B17.101
急性重型丙型病毒性肝炎,B17.102
亚急性重型丙型病毒性肝炎,B17.103
急性戊型病毒性肝炎,B17.200
戊型病毒性肝炎,B17.201
急性黄疸型戊型病毒性肝炎,B17.202
急性淤胆型戊型病毒性肝炎,B17.203
急性重型戊型病毒性肝炎,B17.204
亚急性重型戊型病毒性肝炎,B17.205
特指急性病毒性肝炎,B17.800
急性混合型肝炎,B17.801
急性重叠型肝炎,B17.802
急性重叠型黄疸型病毒性肝炎,B17.803
急性丁型病毒性肝炎,B17.804
急性庚型病毒性肝炎,B17.805
急性黄疸型庚型病毒性肝炎,B17.806
急性重症庚型肝炎,B17.807
急性病毒性肝炎,B17.900
淤胆型病毒性肝炎,B17.901
急性黄疸型病毒性肝炎,B17.902
慢性乙型病毒性肝炎伴δ因子,B18.000
慢性乙型丁型病毒性肝炎,B18.001
慢性重叠型病毒性肝炎,B18.002
慢性重型重叠型病毒性肝炎,B18.003
慢性混合型病毒性肝炎,B18.004
膈继发恶性肿瘤,C79.810
盆腔继发恶性肿瘤,C79.811
子宫继发恶性肿瘤,C79.812
附件继发恶性肿瘤,C79.813
阴道继发恶性肿瘤,C79.814
输精管继发恶性肿瘤,C79.815
精囊继发恶性肿瘤,C79.816
睾丸继发恶性肿瘤,C79.817
前列腺继发恶性肿瘤,C79.818
阴囊继发恶性肿瘤,C79.819
阴茎继发恶性肿瘤,C79.820
会阴继发恶性肿瘤,C79.821
外阴继发恶性肿瘤,C79.822
前庭大腺继发恶性肿瘤,C79.823
直肠阴道隔继发恶性肿瘤,C79.824
垂体继发恶性肿瘤,C79.825
淋巴管继发恶性肿瘤,C79.826
结缔组织继发恶性肿瘤,C79.827
神经节继发恶性肿瘤,C79.828
骶尾部继发恶性肿瘤,C79.829
颌下腺继发恶性肿瘤,C79.830
腮腺继发恶性肿瘤,C79.831
拉特克囊继发恶性肿瘤,C79.832
纳博特腺继发恶性肿瘤,C79.833
颈部继发性恶性肿瘤,C79.834
全身性广泛继发恶性肿瘤,C80.x00
恶性恶病质,C80.x01
恶性肿瘤性周围神经病,C80.x02+
淋巴细胞为主型霍奇金病,C81.000
霍奇金淋巴瘤，富淋巴细胞性,C81.001
弥漫性淋巴细胞为主型淋巴瘤,C81.002
结节性淋巴细胞为主型淋巴瘤,C81.003
结节硬化型霍奇金淋巴瘤,C81.100
结节性硬化型富细胞相淋巴瘤,C81.101
结节硬化淋巴细胞为主型淋巴瘤,C81.102
结节硬化混合细胞淋巴瘤,C81.103
结节硬化淋巴细胞减少型淋巴瘤,C81.104
混合细胞型霍奇金病,C81.200
淋巴细胞减少型霍奇金病,C81.300
弥漫性纤维变性淋巴细胞减少型淋巴瘤,C81.301
网状淋巴细胞减少型淋巴瘤,C81.302
特指类型霍奇金病,C81.700
霍奇金副肉芽肿,C81.701
霍奇金肉芽肿,C81.702
霍奇金肉瘤,C81.703
霍奇金病,C81.900
小分裂细胞滤泡性非霍奇金淋巴瘤,C82.000
小分裂细胞和大细胞混合型滤泡性非霍奇金淋巴瘤,C82.100
小核裂和大细胞滤泡性混合细胞型淋巴瘤,C82.101
大细胞滤泡性非霍奇金淋巴瘤,C82.200
特指类型滤泡性非霍奇金淋巴瘤,C82.700
结节性淋巴细胞性高分化淋巴瘤,C82.701
结节性淋巴细胞性中分化淋巴瘤,C82.702
结节性淋巴细胞性低分化淋巴瘤,C82.703
滤泡性中心母细胞性淋巴瘤,C82.704
滤泡性非霍奇金淋巴瘤,C82.900
小细胞(弥漫性)非霍奇金淋巴瘤,C83.000
小淋巴细胞性淋巴瘤,C83.001
弥漫性小细胞无核裂淋巴瘤,C83.002
小分裂细胞(弥漫性)非霍奇金淋巴瘤,C83.100
小细胞和大细胞混合型(弥漫性)非霍奇金淋巴瘤,C83.200
大细胞(弥漫性)非霍奇金淋巴瘤,C83.300
弥漫性大细胞淋巴瘤,C83.301
网状细胞肉瘤,C83.302
弥漫性大细胞核裂淋巴瘤,C83.304
免疫母细胞(弥漫性)非霍奇金淋巴瘤,C83.400
原淋巴细胞(弥漫性)非霍奇金淋巴瘤,C83.500
未分化(弥漫性)非霍奇金淋巴瘤,C83.600
伯基特瘤,C83.700
特指类型弥漫性非霍奇金淋巴瘤,C83.800
淋巴浆细胞型淋巴瘤,C83.801
外套细胞性淋巴瘤,C83.802
中心细胞性淋巴瘤,C83.803
恶性淋巴瘤性息肉病,C83.804
原发渗出性淋巴瘤,C83.805
纵隔大B细胞淋巴瘤,C83.806
弥漫性中心母细胞性淋巴瘤,C83.809
弥漫性淋巴细胞性中分化淋巴瘤,C83.811
弥漫性非霍奇金淋巴瘤,C83.900
复合性霍奇金和非霍奇金淋巴瘤,C83.901
蕈样肉芽肿,C84.000
蕈样真菌病,C84.001
塞扎里病,C84.100
T区淋巴瘤,C84.200
淋巴上皮样淋巴瘤,C84.300
伦纳特淋巴瘤,C84.301
外周T细胞淋巴瘤,C84.400
血管免疫母细胞性淋巴结病伴血内蛋白异常,C84.401
外周T细胞淋巴瘤， 多形性小细胞,C84.402
外周T细胞淋巴瘤， 多形性中等细胞和大细胞,C84.403
血管免疫母细胞性T细胞淋巴瘤,C84.404
特指T细胞淋巴瘤,C84.500
皮下脂膜炎样T细胞淋巴瘤,C84.501
皮肤淋巴瘤,C84.502
肉芽肿性皮肤松弛症,C84.503
皮肤T细胞淋巴瘤,C84.504
淋巴肉瘤,C85.000
额叶淋巴肉瘤,C85.001
鼻淋巴肉瘤,C85.002
颌淋巴肉瘤,C85.003
喉淋巴肉瘤,C85.004
咽淋巴肉瘤,C85.005
腮腺淋巴肉瘤,C85.006
纵隔淋巴肉瘤,C85.007
胃淋巴肉瘤,C85.008
十二指肠淋巴肉瘤,C85.009
脾淋巴肉瘤,C85.010
肠淋巴肉瘤,C85.011
肠系膜淋巴肉瘤,C85.012
盲肠淋巴肉瘤,C85.013
腹腔淋巴肉瘤,C85.014
睾丸淋巴肉瘤,C85.015
结节性淋巴肉瘤,C85.016
B细胞淋巴瘤,C85.100
特指类型非霍奇金淋巴瘤,C85.700
单核细胞样B细胞淋巴瘤,C85.701
血管内皮瘤病,C85.702
恶性网状细胞增多症,C85.703
血管中心性T细胞淋巴瘤,C85.704
大细胞(ki-1＋)淋巴瘤,C85.705
小神经胶质细胞瘤,C85.706
非霍奇金淋巴瘤,C85.900
脑恶性淋巴瘤,C85.901
硬膜外恶性淋巴瘤,C85.902
眼眶恶性淋巴瘤,C85.903
鼻窦恶性淋巴瘤,C85.904
鼻腔恶性淋巴瘤,C85.905
面部恶性淋巴瘤,C85.906
舌恶性淋巴瘤,C85.907
扁桃体恶性淋巴瘤,C85.908
腮腺恶性淋巴瘤,C85.909
肺恶性淋巴瘤,C85.910
纵膈恶性淋巴瘤,C85.911
胃恶性淋巴瘤,C85.912
肝恶性淋巴瘤,C85.913
脾恶性淋巴瘤,C85.914
肠系膜恶性淋巴瘤,C85.915
肠恶性淋巴瘤,C85.916
小肠恶性淋巴瘤,C85.917
结肠恶性淋巴瘤,C85.918
回盲部恶性淋巴瘤,C85.919
盲肠恶性淋巴瘤,C85.920
直肠恶性淋巴瘤,C85.921
卵巢恶性淋巴瘤,C85.922
腹膜后恶性淋巴瘤,C85.923
腹腔恶性淋巴瘤,C85.924
睾丸恶性淋巴瘤,C85.925
骨恶性淋巴瘤,C85.926
肢体恶性淋巴瘤,C85.927
瓦尔登斯特伦巨球蛋白血症,C88.000
α重链病,C88.100
γ重链病,C88.200
富兰克林病,C88.201
免疫增生性小肠病,C88.300
地中海淋巴瘤,C88.301
特指恶性免疫增生性疾病,C88.700
免疫增生性疾病,C88.900
多发性骨髓瘤,C90.000
骨髓瘤病,C90.001
浆细胞性骨髓瘤,C90.002
浆细胞白血病,C90.100
髓外浆细胞瘤,C90.200
浆细胞瘤,C90.201
孤立性骨髓瘤,C90.202
浆细胞肉瘤,C90.203
单发性浆细胞骨髓瘤,C90.204
急性淋巴细胞白血病,C91.000
急性淋巴细胞性白血病，L1型,C91.001
急性淋巴细胞性白血病，L2型,C91.002
急性淋巴细胞性白血病，L3型,C91.003
慢性粒细胞性白血病，急淋变,C91.004
伯基特细胞白血病,C91.005
慢性淋巴细胞白血病,C91.100
慢性淋巴细胞性白血病，急性变,C91.101
亚急性淋巴细胞白血病,C91.200
幼淋巴细胞白血病,C91.300
幼淋巴细胞白血病，B细胞型,C91.301
幼淋巴细胞白血病，T细胞型,C91.302
前体细胞淋巴细胞白血病,C91.303
前体B细胞淋巴细胞白血病,C91.304
前体T细胞淋巴细胞白血病,C91.305
多毛细胞白血病,C91.400
白血病性网状内皮细胞增多症,C91.401
成人T-细胞白血病,C91.500
特指淋巴样白血病,C91.700
非白血性淋巴细胞性白血病,C91.701
T-细胞大颗粒淋巴细胞白血病,C91.702
淋巴样白血病,C91.900
淋巴细胞白血病,C91.901
急性髓系白血病,C92.000
急性髓系白血病，伴有异常的骨髓嗜酸粒细胞,C92.001
急性髓系白血病，最低分化,C92.002
急性髓系白血病，不伴有成熟,C92.003
急性髓系白血病，伴有成熟,C92.004
慢性髓系白血病,C92.100
慢性髓系白血病，急性发作,C92.101
慢性中幼粒细胞性白血病,C92.102
慢性髓系白血病，BCR/ABL阳性,C92.103
非典型性慢性髓系白血病，BCR/ABL阴性,C92.104
慢性中性粒细胞白血病,C92.105
亚急性髓样白血病,C92.200
亚急性粒细胞性白血病,C92.201
髓系肉瘤,C92.300
急性早幼粒细胞性白血病,C92.400
急性早幼粒细胞性白血病，完全缓解,C92.401
急性粒单核细胞白血病,C92.500
特指髓系白血病,C92.700
非白血性髓系白血病,C92.701
慢性粒单核细胞白血病,C92.702
嗜碱细胞白血病,C92.703
幼年粒单核细胞白血病,C92.704
侵袭性NK细胞白血病,C92.705
嗜酸细胞白血病,C92.706
髓样白血病,C92.900
粒细胞白血病,C92.901
急性单核细胞白血病,C93.000
慢性单核细胞白血病,C93.100
慢性单核细胞白血病，急性加重,C93.101
亚急性单核细胞白血病,C93.200
特指单核细胞白血病,C93.700
非白血性单核细胞白血病,C93.701
单核细胞白血病,C93.900
组织细胞白血病,C93.901
急性红细胞增多症,C94.000
红白血病,C94.001
红细胞增多性骨髓组织增生,C94.002
红细胞增多,C94.003
慢性红细胞增多症,C94.100
海尔迈尔-舍纳病,C94.101
急性原巨核细胞白血病,C94.200
急性巨核细胞性白血病,C94.201
肥大细胞白血病,C94.300
急性全骨髓增生症,C94.400
急性骨髓纤维化,C94.500
特指白血病,C94.700
淋巴肉瘤细胞白血病,C94.701
急性白血病,C95.000
母细胞性白血病,C95.001
干细胞白血病,C95.002
未分化细胞白血病,C95.003
慢性白血病,C95.100
亚急性白血病,C95.200
非白血性白血病,C95.700
白血病,C95.900
混合细胞性白血病,C95.901
莱特雷尔-西韦病,C96.000
非类脂组织细胞增多病,C96.001
急性分化性进行性组织细胞增多症,C96.002
急性婴儿期网状内皮细胞增多症,C96.003
恶性组织细胞增多症,C96.100
恶性肥大细胞瘤,C96.200
恶性肥大细胞增多症,C96.201
肥大细胞肉瘤,C96.202
真性组织细胞淋巴瘤,C96.300
淋巴、造血和有关组织特指恶性肿瘤,C96.700
淋巴、造血和有关组织恶性肿瘤,C96.900
独立(原发)多个部位的恶性肿瘤,C97.x00
复合癌,C97.x01
唇、口腔和咽原位癌,D00.000
扁桃体原位癌,D00.001
唇原位癌,D00.002
口腔原位癌,D00.003
舌原位癌,D00.004
杓状会厌褶原位癌,D00.005
口底原位癌,D00.006
咽原位癌,D00.007
下咽原位癌,D00.008
食管原位癌,D00.100
胃原位癌,D00.200
结肠原位癌,D01.000
直肠乙状结肠连接处原位癌,D01.100
